title,abstract,track,date,time,format,theme,status,confirmed,featured,audience,name,organization,role,image,headshot,twitter,github,website
Cache All the Things!,Caching is hard. This is a talk about how we approached the problem at Trulia and implemented Backend and Frontend caching for GraphQL.,Seacliff,10/30/2019 11:00 AM,11:00 AM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Intermediate,Aditi Garg ,Zillow Group,Senior Software Engineer,,https://drive.google.com/open?id=1FpUlS9bZJh-WoBJuphVvt3d1wYqD1Qg_,https://twitter.com/adigarg94,,
Cache All the Things!,Caching is hard. This is a talk about how we approached the problem at Trulia and implemented Backend and Frontend caching for GraphQL.,Seacliff,10/30/2019 11:00 AM,11:00 AM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Intermediate,Sandosh Vasudevan,Zillow Group,Architect,https://i.imgur.com/erbR2fe.jpg,,,,
Exposing Salesforce data through GraphQL,Salesforce is the largest relational enterprise data store in the world. This talk explores how to unlock the data inside Salesforce using GraphQL and make it easy to build front-end customer-facing apps on top of it using Apollo Client.,Bayview,10/30/2019 4:00 PM,4:00 PM,Session (25 min),Scaling your business,Accepted,Y,,Intermediate,Andrei Anisimov,8base,CEO and Founder,https://i.imgur.com/ugMXr03.jpg,,,,
SDL as an Artifact: Code-First Schemas in TS/JS,"Schema-first (SDL) development is common in the JS ecosystem, yet isn’t in most other languages. Why? What if we challenged this “best practice” with a new approach - a library with a declarative API and full type safety out of the box - without needing manual type-annotation (even in JS)!",Seacliff,10/31/2019 11:00 AM,11:00 AM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Tim Griesser,Cypress.io,Senior Software Engineer,,https://drive.google.com/open?id=1i4tl13t9ukqumrgiz-pvxNOwT7H8fymH,https://twitter.com/tgriesser,https://github.com/tgriesser,
Components as Data: A Cross Platform GraphQL Powered Component API,"Move your API's ""Decouple line"" further towards front end and you can get some cool features: Server side A/B testing and Feature Flagging, centralized business logic, and simpler frontend apps. Components as Data is an API design pattern that enables these features and pairs perfectly with GraphQL's type system.",Bayview,10/30/2019 3:00 PM,3:00 PM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Luke Herrington,Four Kitchens,Senior Javascript Engineer,,https://drive.google.com/open?id=1UdgvS-t_qr2e1_-wpmbnP4zqfKrp6EpB,https://twitter.com/lukeherrington,https://github.com/infiniteluke/,https://www.fourkitchens.com/team/luke-herrington/
Building a high-performance realtime GraphQL API on existing databases and data sources,"I will talk about the approach we took at Hasura of building a GraphQL API that can leverage an existing database. You'll learn how we built a declarative authorization system and addressed the n+1 database query problem. With GraphQL making it easy to “join data” across tables, I’ll also talk about how we can “join data” between a table and an existing API.",Bayview,10/31/2019 12:00 PM,12:00 PM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Tanmai Gopal,Hasura,CEO & Co-founder,,https://drive.google.com/open?id=1-wSvHrDJNf--GxvL-GuNesmW2CnxzQ_Z,https://twitter.com/tanmaigo,https://github.com/coco98,
Caching & GraphQL: Setting the Story Straight,"Put the words caching and GraphQL in the same sentence, and without a doubt you've got a debate going. It's time to debunk some myths, shine some light and explore the world of caching & GraphQL together.",General Session,10/30/2019 4:00 PM,4:00 PM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Marc-André Giroux,GitHub,Senior Platform Engineer,,https://drive.google.com/open?id=1qZzUAAB1cOIMXI2Pgg3OCVp_ZDLpqu2n,https://twitter.com/__xuorig__,https://github.com/xuorig,https://medium.com/@__xuorig__
Optimistic UI: Predicting the Future,Optimistic UI is a powerful tool to help your UI respond to expected changes without the need for a page refresh or loading component. ,Bayview,10/30/2019 2:45 PM,2:45 PM,Lightning Talk (10 min),Deep dive (Client),Accepted,Y,,Intermediate,Kenny Hammerlund,American Poolplayers Association,Full Stack Developer,,https://drive.google.com/open?id=1t7BKV25am7RUgAHw6x_C-befrQp-eJ1_,https://twitter.com/HammerlundKenny,https://github.com/kennyhammerlund,http://web.stargazerllc.com
Transforming customer experiences and your organization with GraphQL,"Through storytelling, Dan Boerner and Jim Gust will share the expected and unexpected ways that GraphQL is transforming how Expedia Group creates seamless customer experiences across their front-end platforms. Along the way, they will share hard fought lessons and mistakes during their journey selling the promise of GraphQL, keeping momentum building beyond the initial POC team, and scaling a graph that spans the many services and teams.",General Session,10/30/2019 2:30 PM,2:30 PM,Session (25 min),Scaling your business,Accepted,Y,,Beginner,Jim Gust,Expedia ,Sr Technical Product Manager ,,https://drive.google.com/open?id=1rrPLzYYpRtOnVr1MABnmnPQx4L3mVGl7,,,
How We Scaled GraphQL at The New York Times,"The New York Times delivered around 5 billion GraphQL responses last month, but only a fraction of those were executed by the GraphQL server application.  This session will go into detail about how we use Fastly to deliver all this data and the challenges that we faced along the way.",General Session,10/30/2019 4:30 PM,4:30 PM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Intermediate,James Lawrie,The New York Times,Lead Software Engineer,,https://drive.google.com/open?id=1geGo3c6KNqliWgR3_Fwq0Q8XBi30n7xP,,,
GraphQL Tools are easy or how to write one in less than 100 lines,"It’s an exciting time for the GraphQL ecosystem. New tools appear almost every day and you may have a few ideas for your own. But working with queries and the type system looks scary at first. In my talk, I will prove the opposite and demonstrate how you can write a useful tool in <100 lines of code.",Bayview,10/31/2019 2:00 PM,2:00 PM,Lightning Talk (10 min),Deep dive (GraphQL spec),Accepted,Y,,Intermediate,Ivan Goncharov,APIs.guru,GraphQL,,https://drive.google.com/open?id=12WFortNN-Kbqir99e-Z2Xcvm-_qkhlxK,https://twitter.com/E1Goncharov,https://github.com/IvanGoncharov/,https://medium.com/@IvanGoncharov
From Vuex to Apollo state management: GitLab journey,Do you need an external local state management if you decide to use GraphQL with Apollo Client? Let's see how we're moving from Vuex to Apollo state management at GitLab.,General Session,10/31/2019 12:00 PM,12:00 PM,Session (25 min),Deep dive (Client),Accepted,Y,,Intermediate,Natalia Tepluhina,GitLab,Senior Frontend Engineer,,https://drive.google.com/open?id=13Vpe63Kj6soHfkJLWhN9M1cx9aghWTbN,https://twitter.com/N_Tepluhina,https://github.com/NataliaTepluhina,
Apollo GraphQL Server per field caching mechanism for an object based database,"GraphQL offers loads of possibilities, one of them is directives. We can use directives to apply a server side per field caching mechanism which allows us to fetch less data at each request if we are using an object based database.",Bayview,10/31/2019 2:45 PM,2:45 PM,Lightning Talk (10 min),Deep dive (Server),Accepted,Y,,Intermediate,Boštjan Cigan,Result d.o.o.,Architect And Technical Lead,,https://drive.google.com/open?id=1-xFYl2OXKe9OuNPXSdgtRU4Mg2UYxKRP,https://twitter.com/bostjan_cigan,,https://bostjan-cigan.com
Building a faster checkout experience at PayPal with GraphQL,"At PayPal, we are rebuilding our checkout experience from the ground up. The most important and logical problem we are solving is to make the experience super fast. Come hear our story on how we leveraged GraphQL server to efficiently present varied regional payment experiences to people all around the globe.",Seacliff,10/31/2019 3:00 PM,3:00 PM,Session (25 min),Spooky stories,Accepted,Y,,Intermediate,Vishakha Singh,PayPal,Senior Software Engineer ,,https://drive.google.com/open?id=1oLkj2Ja3TogNUou98wJjg9JqooEUz_DG,,,
Sorting and filtering in GraphQL,GraphQL lets you select fields out of the box. Relay and Apollo introduce standard patterns for paginating results. There are however no obvious patterns for sorting and filtering results. Allow me to present a few reusable solutions.,Bayview,10/30/2019 2:30 PM,2:30 PM,Lightning Talk (10 min),Deep dive (Client),Accepted,Y,,Intermediate,Jérémie Astori,CloudHealth by VMware,Software Engineer,,https://drive.google.com/open?id=13U4JYdNrq4Vl935MuNbkN-mdqvPOTj7a,https://twitter.com/astorije,https://github.com/astorije,https://jeremie.astori.fr
GraphQL in Every Language,GraphQL clients and servers exist in many different programming languages — not just JavaScript! Join me for a journey into GraphQL in (almost) every language under the sun.,Seacliff,10/31/2019 9:00 AM,9:00 AM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Jon Wong,Coursera,Staff Software Engineer,,https://drive.google.com/open?id=1u6fPFJ9sox0rbb4Ra9z_yu8-roo-wr4N,https://twitter.com/jnwng,https://github.com/jnwng,https://medium.com/@jnwng
Building the one-graph together,SAP Concur is moving from multiple graphs to a unified graph and one of the greatest challenges we faced is the coordination needed between dozens of teams and product areas. I'll share the practices we used to strike a balance between creating a coherent graph and moving quickly.,Seacliff,10/30/2019 12:00 PM,12:00 PM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Intermediate,Sam Parsons,Braintree,Software Engineer,,https://drive.google.com/open?id=1Sh0C366VJiGd0zEYfUmKL-cVOnDZis8f,https://twitter.com/sjparsons,https://github.com/sjparsons,http://sjparsons.com/
Building offline first apps with GraphQL & Apollo,"Offline first apps have a unique set of challenges to keep them fully functional even in offline mode. On top of that, GraphQL based apps need new ways of solving these challenges. In this talk, I will share my experience with implementing offline first app with GraphQL & Apollo.",Seacliff,10/31/2019 11:30 AM,11:30 AM,Session (25 min),Deep dive (Client),Accepted,Y,,Advanced,Kiran Kumar Abburi,neostack.com,Founder,,https://drive.google.com/open?id=1fnQF4IIrJ3B8uCsh7EFL2u9d2jnhvNmW,https://twitter.com/kiran_abburi,https://github.com/akiran,
Resolve Info Deep Dive,Each GraphQL resolver is passed an object called the resolve info argument. This object contains information about the schema and query and can be used to construct database queries at runtime inside the resolver.,Bayview,10/31/2019 11:00 AM,11:00 AM,Session (25 min),Deep dive (GraphQL spec),Accepted,Y,,Advanced,William Lyon,Neo4j,Software Engineer,,https://drive.google.com/open?id=1VMfPhsoxKONbDyaHrivrvgi7fgP2g0Lj,https://twitter.com/lyonwj,https://github.com/johnymontana,https://medium.com/@lyonwj
Fixing Airplanes with GraphQL,"Embraer, the third largest manufacturer of civil aircraft, is using GraphQL to improve air travel for everyone. Come see how Embraer uses GraphQL to help airlines, mechanics, and others coordinate and collaborate to fix broken airplanes before they cause your important flight to be delayed.",Bayview,10/30/2019 12:00 PM,12:00 PM,Session (25 min),Creative uses of GraphQL,Accepted,Y,,Beginner,Dom Kiva-Meyer,Embraer,Tech Lead,,https://drive.google.com/open?id=1gORS_pXLhV2OjUnCPzH7uU9zOW5ANa3w,https://twitter.com/domkm,https://github.com/domkm,https://www.paren.com/
Configuration driven Data as a Service gateway with GraphQL,"In this talk, you’ll learn about techniques used to build a scalable GraphQL based data gateway with the capability to dynamically on-board various new data sources. They include runtime schema evolution and resolver wiring, abstract resolvers, auto GraphQL schema generation from other schema types, and construction of appropriate cache key-values.",Seacliff,10/30/2019 11:30 AM,11:30 AM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Advanced,Noriaki Tatsumi,Capital One,"Director, Distinguished Engineer",,https://drive.google.com/open?id=1Aeo_fVehikwarkWAXGkXKtUpA6uHN1Nc,,,
A Tinder Love Story: How we created our WordPress blog in React instead of PHP,"Don't dust off that PHP for Dummies book just yet! Learn how Tinder created a Wordpress website entirely in React using GraphQL + GatsbyJS 🔥 Bring your humor, forget the PHP & let's have nerdy fun together!",General Session,10/31/2019 2:30 PM,2:30 PM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Kyle Boss,Tinder,Software Engineer,https://i.imgur.com/Ll97Ydz.jpg,,https://twitter.com/likeakyleboss,https://github.com/tinder-kyleboss,http://kyleboss.com
Real World Graphene: lessons learned from building a GraphQL API on top of a Django app,"Adding a full-fledged GraphQL API on top of a Django app using Graphene can be daunting. I want to share a few techniques that bring consistency in the implementation and shape of API, solve common API design issues, and overcome some of the framework’s shortcomings.",Bayview,10/31/2019 10:00 AM,10:00 AM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Marcin Gębala,Mirumee Software,Lead Developer,,https://drive.google.com/open?id=1x5p4uyvQnAatfjrfh3uBq7Hjc_QmStD6,https://twitter.com/maarcingebala,,https://medium.com/@maarcingebala
Oh the Connections You’ll Make...With Apollo Federation,Apollo Federation is an exciting new architecture which allows organizations to expose one data graph for all of their distributed data. This architecture also opens up exciting opportunities for building a data graph on top of previously unconnected third party APIs.,Bayview,10/30/2019 11:30 AM,11:30 AM,Session (25 min),Creative uses of GraphQL,Accepted,Y,,Intermediate,Matt Dionis,Auth0,Engineering ,,https://drive.google.com/open?id=1vN7ehoxHZ7dcOMKv7cfovXkxI6zWRCbS,https://twitter.com/MattDionis,https://github.com/Matt-Dionis,https://dionis.dev/
Game Of Types: A Song Of GraphQL And TypeScript,"Treating our GraphQL schema as the single source of truth for our types and generating TypeScript definitions from it, we diminish the risk of duplication and divergence between the two type systems.",Seacliff,10/30/2019 4:00 PM,4:00 PM,Session (25 min),Deep dive (Client),Accepted,Y,,Intermediate,Steven Musumeche,Formidable,Senior Software Engineer,,https://drive.google.com/open?id=1vfF97Mj6YWxu_Y3dJ7BDNhYfaVoA3LJ-,https://twitter.com/smusumeche,https://github.com/stevenmusumeche/,https://www.musumeche.com/
State Management in GraphQL using React Hooks & Apollo,This talks walks through how to use React Hooks in maintaining state while using GraphQL. ,General Session,10/30/2019 11:30 AM,11:30 AM,Session (25 min),The GraphQL stack,Accepted,Y,Y,Intermediate,Shruti Kapoor,PayPal,Software Engineer,,https://drive.google.com/open?id=1OnnqPvEWEBBOr-fxZ2Sb1yDto9NPb59f,https://twitter.com/Shrutikapoor08,,
The future of GraphQL tooling and DX,"Learn how OneGraph has built custom tooling such as their Explorer, Code exporter, query doctor, intelligent variable form for GraphiQL, intelligent historical-based mocking for an API, etc.",General Session,10/31/2019 11:30 AM,11:30 AM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Daniel Woelfel,OneGraph,Founder,https://i.imgur.com/4JpEugV.jpg,,,,
Expose your Kafka with GraphQL,I will demo and show some code how especially GraphQL subscriptions can be used with Kafka to create reactive applications. I will also give some pointers what you might run into when running in production. ,Bayview,10/31/2019 9:00 AM,9:00 AM,Session (25 min),Creative uses of GraphQL,Accepted,Y,,Intermediate,Gerard Klijs,Open Web,Senior Web Developer,,https://drive.google.com/open?id=1ELhizfS4OzZshDCCq2Gq74vYRVFt8VRf,https://twitter.com/GKlijs,https://github.com/gklijs,https://open-bank.gklijs.tech/
GitLab: down the GraphQL rabbit hole,"GitLab is on its way to GraphQL General Availability in early 2020. This journey raises multiple challenges from ""classical"" security to overall question how to provide best developer experience migrating huge existing codebase on new rails :). We are going to share both our own answers",Seacliff,10/31/2019 2:30 PM,2:30 PM,Session (25 min),Spooky stories,Accepted,Y,,Intermediate,Natalia Tepluhina,GitLab,Senior Frontend Engineer ,,https://drive.google.com/open?id=1auZn9GaaKPD1C3_1hMBB1Z_k0lcnERt4,https://twitter.com/N_Tepluhina,https://gitlab.com/ntepluhina,
GitLab: down the GraphQL rabbit hole,"GitLab is on its way to GraphQL General Availability in early 2020. This journey raises multiple challenges from ""classical"" security to overall question how to provide best developer experience migrating huge existing codebase on new rails :). We are going to share both our own answers",Seacliff,10/31/2019 2:30 PM,2:30 PM,Session (25 min),Spooky stories,Accepted,Y,,Intermediate,Illya Klymov,GitLab,Senior Frontend Engineer ,https://i.imgur.com/ox9I4hF.jpg,,https://twitter.com/xanf_ua,https://gitlab.com/xanf,
A Treatise on State,"State management is a hard problem - which is why we have an ever-growing number of tools to help us. But can we get it right without truly understanding what ""state"" is?

Enter a treatise on state: a study of the different types of state we manage, how to think about each, and how to get them playing nicely together.",General Session,10/31/2019 9:00 AM,9:00 AM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Jed Watson,Thinkmill,Partner,,https://drive.google.com/open?id=1-qxTAMyMMPNxvje9KrCGnw5HH6CTmHjL,https://twitter.com/JedWatson,https://github.com/JedWatson,
Scaling GraphQL Beyond a Backend for Frontend,How do you scale your GraphQL API beyond a single consumer? This talk will discuss transitioning a client-specific GraphQL layer into a universal graph for multiple consumers.,General Session,10/30/2019 2:00 PM,2:00 PM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Michelle Garrett,Condé Nast International,Software Engineer,https://i.imgur.com/zscSDMi.jpg,,https://twitter.com/msmichellegar,,
Scaling GraphQL Beyond a Backend for Frontend,How do you scale your GraphQL API beyond a single consumer? This talk will discuss transitioning a client-specific GraphQL layer into a universal graph for multiple consumers.,General Session,10/30/2019 2:00 PM,2:00 PM,Session (25 min),The GraphQL stack,Accepted,N,,Intermediate,Faduma Mohammed,Condé Nast International,Software Engineer,,https://drive.google.com/open?id=1VKtv9RAGmbYlgNeYOO1CqHRFp242czYx,https://twitter.com/FadumaFaralacag,,
useSubscription: A GraphQL Game Show,"A real-time game show brought to you by GraphQL Subscriptions. In this highly interactive presentation, you'll become a contestant on a game show that is powered by GraphQL. Along the way, we will take a deep dive into subscription implementation, state management, and solutions for scaling real-time GraphQL applications.",Seacliff,10/31/2019 9:30 AM,9:30 AM,Session (25 min),Creative uses of GraphQL,Accepted,Y,,Advanced,Alex Banks,Moon Highway,Software Engineering Instructor,,https://drive.google.com/open?id=1_gDou49oUTMJNzUhh04X46hdW1qTVF6Y,https://www.twitter.com/moontahoe,https://www.github.com/moontahoe,https://www.moonhighway.com
 How to talk to your boss about GraphQL,"For most folks, the technical ROI on GraphQL is apparent. But how do you explain that to people at work who think more in spreadsheets than they do in graphs?",Bayview,10/30/2019 4:30 PM,4:30 PM,Session (25 min),Scaling your business,Accepted,Y,,Intermediate,Brandon Paquette,Cresta,Tech Lead,,https://drive.google.com/open?id=1t5BjnPlDejQfDsGfcbQ4nAnnGf1Y_ll8,https://twitter.com/brandonmp44,https://github.com/brandonmp,https://www.brandon.sh
"Simple caching, made difficult.","Let's dive into the journey towards successfully synchronizing the TTL of your data with the cache expiration in a GraphQL request.
",Bayview,10/30/2019 2:00 PM,2:00 PM,Lightning Talk (10 min),GraphQL infrastructure,Accepted,Y,,Intermediate,Eric Baer,Livestock Nutrition Center,Director Of Engineering,,https://drive.google.com/open?id=1uOP_Mz49EzW1DSWhZvIcnRzoT3ku9onX,https://twitter.com/ebaerbaerbaer,https://github.com/baer,https://www.ericbaer.com/
Adding Typescript to your GraphQL server,"Considering moving your existing GraphQL server to Typescript, but don’t know where to start? This talk will walk you through all the basics: from adding Typescript to your server, convincing your team and the migration strategy that will eventually get you there.",Bayview,10/30/2019 2:15 PM,2:15 PM,Lightning Talk (10 min),Deep dive (Server),Accepted,Y,,Intermediate,Zhifan Li,Intuit,Software Engineer,,https://drive.google.com/open?id=1dwxO4CtMeC_6Jd6DC2b02P7zCTOJ1ko-,http://twitter.com/iszfan,https://github.com/iszfan,http://iszfan.github.io/
How do you get changes made to GraphQL?,"In this talk, you'll learn how to pitch for a change to the GraphQL specs, or first-party projects.",General Session,10/31/2019 11:00 AM,11:00 AM,Session (25 min),Community,Accepted,Y,,Intermediate,Orta,Microsoft,Engineer On Typescript,,https://drive.google.com/open?id=1-5Wb0fum8T_cnE7aLQNA8h0xUsW_j0JV,https://twitter.com/orta,https://github.com/orta,https://orta.io
What About the Database? How to Write Efficient Queries for GraphQL Resolvers,"When writing GraphQL servers, we often place a lot of emphasis on how to craft good resolvers. However, we don't often think about how to create good database queries to furnish the data for those resolvers. Let's look at how it's easy to fall into the trap of writing inefficient database queries and how we can use GraphQL itself to solve this problem.",Bayview,10/31/2019 11:30 AM,11:30 AM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Ryan Chenkie,Elevate Digital Inc,"Owner, Developer",,https://drive.google.com/open?id=18mGXJ6ktUkWOVshtd9qhqitU4J-Nz3D5,https://twitter.com/ryanchenkie,https://github.com/chenkie,https://ryanchenkie.cm
I heart GraphQL (and Kotlin),"In this talk, you'll hear from a Kotlin fanboy who wants to show you how he built his GraphQL APIs.",Bayview,10/31/2019 9:30 AM,9:30 AM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Rohit Basu,PayPal,Architect,,https://drive.google.com/open?id=1ITXZFhxvl9kpWCp8gI-11WPiomg1wkn7,https://twitter.com/rohitdbasu?lang=en,,
LinkedIn's Economic Graph on GraphQL,"LinkedIn is leveraging GraphQL to enable easier addition and access of entities in the Economic Graph for first party products. The talk will present LinkedIn’s vision for modelling entities (like member, activity, company etc.), defining privacy rules and enabling a consistent access experience across online, nearline and offline environments.",Seacliff,10/31/2019 2:00 PM,2:00 PM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Gopal Holla,LinkedIn Corporation,Staff Software Engineer,,https://drive.google.com/open?id=1kFW90Iva-hnXtywfB8_fqTDB5xaONOng,,https://github.com/vgkholla,
Transforming customer experiences and your organization with GraphQL,"Through storytelling, Dan Boerner and Jim Gust will share the expected and unexpected ways that GraphQL is transforming how Expedia Group creates seamless customer experiences across their front-end platforms. Along the way, they will share hard fought lessons and mistakes during their journey selling the promise of GraphQL, keeping momentum building beyond the initial POC team, and scaling a graph that spans the many services and teams.",General Session,10/30/2019 2:30 PM,2:30 PM,Session (25 min),Scaling your business,Accepted,Y,,Beginner,Dan Boerner,Expedia ,Distinguished Product Manager,https://i.imgur.com/1q0TeOs.jpg,,,,
The GraphQL developer experience,Hear about how the shift from legacy APIs to GraphQL can spark joy and productivity in developers. See Danielle walk through a live demo of connecting backend services to UI with a seamless programming model that extends from server to client using Apollo GraphQL and React,General Session,10/30/2019 11:00 AM,11:00 AM,Session (25 min),The GraphQL stack,Accepted,Y,,Intermediate,Danielle Man,Apollo,Engineering Manager,https://i.imgur.com/ompnQ6J.jpg,,,,
The agile schema evolution and graph management,"As GraphQL usage increases in an organization, Evans will demonstrate why it’s important for teams to practice agile schema development and iteratively evolve their schema over time",Seacliff,10/31/2019 10:00 AM,10:00 AM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Evans Hauser,Apollo,Core Developer,https://i.imgur.com/ygJY2YZ.jpg,,,,
Digging into the Apollo iOS SDK,"Learn about the what and why of recent updates to ApolloGraphQL’s Swift iOS SDK, including integrating with Swift Package Manager, and get a preview of our updated code generation process.",General Session,10/31/2019 10:00 AM,10:00 AM,Session (25 min),Deep dive (Client),Accepted,Y,,Intermediate,Ellen Shapiro,Apollo,Mobile Engineer,https://i.imgur.com/KXoFQVw.jpg,,,,
Migrating Apollo’s Data Graph from Schema-stitching to Federation,"Find out more about the infrastructure that powers Apollo Graph Manager and how we have evolved the Graph Manager Data Graph (ooh, that’s meta) from monolith to schema-stitching to federation. Learn from the mistakes we made, the patterns that ultimately worked, and the way we took advantage of federation to enhance both our product delivery process and graph performance",Seacliff,10/31/2019 12:00 PM,12:00 PM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Intermediate,Adam Zionts,Apollo,Engineering Manager,https://i.imgur.com/ewqh3Kf.jpg,,,,
